GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,ArrayConverter,97,429,9,57,10,112,9,37,0,13
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,BooleanConverter,60,252,1,13,4,24,2,12,1,6
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,SqlDateConverter,0,9,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,ShortConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,SqlTimestampConverter,8,22,2,2,2,10,2,4,0,4
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,ConverterFacade,5,27,1,1,1,6,1,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,DateConverter,0,9,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,ByteConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,BigIntegerConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,LongConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,DateTimeConverter,197,693,30,78,42,151,29,45,4,16
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,CharacterConverter,2,41,2,4,0,10,2,6,0,5
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,CalendarConverter,0,9,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,DoubleConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,IntegerConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,AbstractConverter,228,395,23,57,30,92,18,37,0,15
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,URLConverter,4,22,0,2,2,6,1,4,1,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,NumberConverter,163,786,17,105,20,156,19,58,3,13
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,FloatConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,FileConverter,4,22,0,2,2,6,1,4,1,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,SqlTimeConverter,3,25,1,3,1,11,1,5,0,4
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,ClassConverter,7,44,1,5,1,14,1,7,0,5
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,BigDecimalConverter,0,11,0,0,0,5,0,3,0,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.converters,StringConverter,0,27,1,3,0,8,1,5,0,4
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,DoubleLocaleConverter,17,69,1,1,5,23,3,11,2,11
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,BigIntegerLocaleConverter,34,76,3,3,8,24,5,11,2,11
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,BigDecimalLocaleConverter,28,74,2,2,7,23,4,11,2,11
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,SqlDateLocaleConverter,59,22,0,0,20,5,10,3,10,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,IntegerLocaleConverter,20,81,1,1,3,25,2,12,1,12
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,FloatLocaleConverter,13,105,0,8,4,26,2,15,2,11
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,ByteLocaleConverter,26,75,1,1,5,23,3,11,2,11
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,DecimalLocaleConverter,58,53,0,6,20,14,10,6,10,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,StringLocaleConverter,85,85,6,16,26,17,15,10,10,4
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,DateLocaleConverter,27,302,7,29,8,72,8,29,2,17
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,SqlTimestampLocaleConverter,59,22,0,0,20,5,10,3,10,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,SqlTimeLocaleConverter,59,22,0,0,20,5,10,3,10,3
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,LongLocaleConverter,13,75,1,3,4,24,3,12,2,11
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale.converters,ShortLocaleConverter,28,82,3,3,6,25,5,11,2,11
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale,LocaleConvertUtilsBean.DelegateFastHashMap,49,31,1,1,12,10,12,5,11,5
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale,LocaleBeanUtilsBean.new ContextClassLoaderLocal() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale,BaseLocaleConverter,27,151,2,18,5,45,4,17,2,9
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale,LocaleBeanUtils,125,13,0,0,26,4,23,2,23,2
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale,LocaleBeanUtilsBean,508,184,51,19,112,55,52,14,21,10
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale,LocaleConvertUtils,59,32,0,0,17,8,13,6,13,6
Apache Commons BeanUtils,org.apache.commons.beanutils2.locale,LocaleConvertUtilsBean,131,402,7,13,21,71,15,17,9,13
Apache Commons BeanUtils,org.apache.commons.beanutils2,DefaultIntrospectionContext,0,88,0,6,0,21,0,13,0,10
Apache Commons BeanUtils,org.apache.commons.beanutils2,LazyDynaBean,557,625,96,88,97,142,70,51,7,22
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,ConvertUtilsBean,274,839,49,89,22,157,49,39,1,18
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanMap.new Transformer() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons BeanUtils,org.apache.commons.beanutils2,BeanUtilsBean,587,884,71,133,123,223,55,74,2,25
