GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement Cov,Branch Cov,CC
JFreeChart,org.jfree.chart.plot,PlotRenderingInfo,46,147,9,11,13,42,8,16,1,13,,0.761658031,0.55,24
JFreeChart,org.jfree.chart.plot,CombinedDomainXYPlot,351,557,59,53,90,154,53,33,13,17,,0.613436123,0.473214286,86
JFreeChart,org.jfree.chart.plot,PolarPlot,1198,1103,178,104,313,302,158,77,53,41,,0.479356801,0.368794326,235
JFreeChart,org.jfree.chart.plot,DatasetRenderingOrder,5,33,0,0,0,3,1,3,1,3,,0.868421053,#DIV/0!,4
JFreeChart,org.jfree.chart.plot,DialShape,5,43,0,0,0,4,1,3,1,3,,0.895833333,#DIV/0!,4
JFreeChart,org.jfree.chart.plot,Plot,390,781,89,91,118,248,88,71,21,48,,0.666951324,0.505555556,159
JFreeChart,org.jfree.chart.plot,PiePlotState,0,80,0,0,0,34,0,21,0,21,,1,#DIV/0!,21
JFreeChart,org.jfree.chart.plot,ThermometerPlot,1186,762,118,74,252,188,125,45,48,25,,0.391170431,0.385416667,170
JFreeChart,org.jfree.chart.plot,RingPlot,422,262,45,25,111,90,37,28,14,16,,0.383040936,0.357142857,65
JFreeChart,org.jfree.chart.plot,PiePlot,981,2768,126,218,224,746,130,174,33,99,,0.738330221,0.63372093,304
JFreeChart,org.jfree.chart.plot,PieLabelDistributor,107,227,13,21,22,50,10,16,2,7,,0.679640719,0.617647059,26
JFreeChart,org.jfree.chart.plot,PieLabelRecord,38,157,7,19,10,45,10,19,4,12,,0.805128205,0.730769231,29
JFreeChart,org.jfree.chart.plot,PlotState,0,11,0,0,0,4,0,2,0,2,,1,#DIV/0!,2
JFreeChart,org.jfree.chart.plot,FastScatterPlot,213,805,37,65,70,218,49,52,20,30,,0.790766208,0.637254902,101
JFreeChart,org.jfree.chart.plot,CompassPlot,824,376,69,36,161,107,66,26,17,18,,0.313333333,0.342857143,92
JFreeChart,org.jfree.chart.plot,DefaultDrawingSupplier,12,765,6,50,4,147,5,41,0,18,,0.984555985,0.892857143,46
JFreeChart,org.jfree.chart.plot,CategoryMarker,6,93,3,7,3,27,3,10,0,8,,0.939393939,0.7,13
JFreeChart,org.jfree.chart.plot,Crosshair,56,582,1,33,20,159,18,39,17,23,,0.912225705,0.970588235,57
JFreeChart,org.jfree.chart.plot,MeterPlot,179,1347,49,93,43,346,62,65,18,38,,0.882699869,0.654929577,127
JFreeChart,org.jfree.chart.plot,IntervalMarker,20,116,2,10,5,32,4,13,2,9,,0.852941176,0.833333333,17
JFreeChart,org.jfree.chart.plot,AbstractPieLabelDistributor,0,31,0,0,0,10,0,5,0,5,,1,#DIV/0!,5
JFreeChart,org.jfree.chart.plot,CombinedRangeXYPlot,352,508,59,43,95,142,50,29,12,16,,0.590697674,0.421568627,79
JFreeChart,org.jfree.chart.plot,CombinedRangeCategoryPlot,200,513,41,45,53,145,38,25,6,14,,0.719495091,0.523255814,63
JFreeChart,org.jfree.chart.plot,MultiplePiePlot,365,416,50,34,85,123,37,30,6,19,,0.532650448,0.404761905,67
JFreeChart,org.jfree.chart.plot,MeterInterval,12,123,6,8,6,36,6,11,0,10,,0.911111111,0.571428571,17
JFreeChart,org.jfree.chart.plot,XYCrosshairState,3,0,0,0,2,0,1,0,1,0,,0,#DIV/0!,1
JFreeChart,org.jfree.chart.plot,PlotOrientation,5,41,0,0,0,5,1,5,1,5,,0.891304348,#DIV/0!,6
JFreeChart,org.jfree.chart.plot,WaferMapPlot,581,0,44,0,131,0,36,0,14,0,,0,0,36
JFreeChart,org.jfree.chart.plot,PolarAxisLocation,5,93,0,0,0,9,1,3,1,3,,0.948979592,#DIV/0!,4
JFreeChart,org.jfree.chart.plot,CombinedDomainCategoryPlot,301,550,49,47,77,149,46,27,10,15,,0.646298472,0.489583333,73
JFreeChart,org.jfree.chart.plot,XYPlot,1794,4770,336,530,459,1285,296,368,50,181,,0.726691042,0.612009238,664
JFreeChart,org.jfree.chart.plot,ValueMarker,11,57,1,7,3,19,2,8,1,5,,0.838235294,0.875,10
JFreeChart,org.jfree.chart.plot,SpiderWebPlot,236,1447,43,101,66,389,55,86,19,50,,0.859774213,0.701388889,141
JFreeChart,org.jfree.chart.plot,CategoryPlot,1277,4090,238,454,332,1135,222,345,47,174,,0.762064468,0.656069364,567
JFreeChart,org.jfree.chart.plot,Marker,24,495,7,35,8,136,9,49,2,35,,0.953757225,0.833333333,58
JFreeChart,org.jfree.chart.plot,PiePlot3D,905,1124,89,59,248,262,56,30,2,10,,0.553967472,0.398648649,86
JFreeChart,org.jfree.chart.plot,CrosshairState,141,53,15,1,36,24,14,13,6,13,,0.273195876,0.0625,27
JFreeChart,org.jfree.chart.plot,CategoryCrosshairState,88,29,11,1,25,13,7,6,1,6,,0.247863248,0.083333333,13
JFreeChart,org.jfree.chart.plot,CenterTextMode,5,43,0,0,0,4,1,3,1,3,,0.895833333,#DIV/0!,4
JFreeChart,org.jfree.chart.plot,PieLabelLinkStyle,5,43,0,0,0,4,1,3,1,3,,0.895833333,#DIV/0!,4
JFreeChart,org.jfree.chart.plot,SeriesRenderingOrder,5,33,0,0,0,3,1,3,1,3,,0.868421053,#DIV/0!,4
JFreeChart,org.jfree.chart.imagemap,StandardToolTipTagFragmentGenerator,0,15,0,0,0,3,0,2,0,2,,1,#DIV/0!,2
JFreeChart,org.jfree.chart.imagemap,DynamicDriveToolTipTagFragmentGenerator,47,0,0,0,11,0,3,0,3,0,,0,#DIV/0!,3
JFreeChart,org.jfree.chart.imagemap,StandardURLTagFragmentGenerator,0,14,0,0,0,3,0,2,0,2,,1,#DIV/0!,2
JFreeChart,org.jfree.chart.imagemap,OverLIBToolTipTagFragmentGenerator,0,15,0,0,0,4,0,2,0,2,,1,#DIV/0!,2
JFreeChart,org.jfree.chart.imagemap,ImageMapUtils,125,128,12,22,28,32,12,13,6,2,,0.505928854,0.647058824,25
JFreeChart,org.jfree.chart.editor,DefaultAxisEditor,591,0,22,0,129,0,29,0,18,0,,0,0,29
JFreeChart,org.jfree.chart.editor,DefaultChartEditor,422,0,6,0,87,0,12,0,9,0,,0,0,12
JFreeChart,org.jfree.chart.editor,DefaultPlotEditor,934,0,100,0,232,0,68,0,18,0,,0,0,68
JFreeChart,org.jfree.chart.editor,DefaultLogAxisEditor,156,0,12,0,42,0,13,0,7,0,,0,0,13
JFreeChart,org.jfree.chart.editor,DefaultTitleEditor,391,0,22,0,96,0,22,0,11,0,,0,0,22
JFreeChart,org.jfree.chart.editor,DefaultValueAxisEditor,546,0,32,0,128,0,36,0,20,0,,0,0,36
JFreeChart,org.jfree.chart.editor,DefaultPolarPlotEditor,241,0,12,0,60,0,15,0,9,0,,0,0,15
JFreeChart,org.jfree.chart.editor,DefaultNumberAxisEditor,199,0,12,0,52,0,13,0,7,0,,0,0,13
JFreeChart,org.jfree.chart.editor,DefaultChartEditorFactory,8,0,0,0,3,0,2,0,2,0,,0,#DIV/0!,2
JFreeChart,org.jfree.chart.editor,ChartEditorManager,20,0,0,0,8,0,5,0,5,0,,0,#DIV/0!,5
JFreeChart,org.jfree.chart.urls,CustomPieURLGenerator,13,158,7,17,5,39,8,12,1,7,,0.923976608,0.708333333,20
JFreeChart,org.jfree.chart.urls,StandardXYURLGenerator,58,64,8,6,9,20,7,5,1,4,,0.524590164,0.428571429,12
JFreeChart,org.jfree.chart.urls,StandardCategoryURLGenerator,50,166,9,11,10,39,8,9,2,5,,0.768518519,0.55,17
JFreeChart,org.jfree.chart.urls,TimeSeriesURLGenerator,32,193,5,15,9,44,9,9,4,4,,0.857777778,0.75,18
JFreeChart,org.jfree.chart.urls,StandardXYZURLGenerator,9,0,0,0,2,0,2,0,2,0,,0,#DIV/0!,2
JFreeChart,org.jfree.chart.urls,CustomXYURLGenerator,17,139,10,18,7,39,10,12,1,7,,0.891025641,0.642857143,22
JFreeChart,org.jfree.chart.urls,CustomCategoryURLGenerator,17,139,10,18,7,40,10,12,1,7,,0.891025641,0.642857143,22
JFreeChart,org.jfree.chart.urls,URLUtilities,54,0,0,0,15,0,3,0,3,0,,0,#DIV/0!,3
JFreeChart,org.jfree.chart.urls,StandardPieURLGenerator,28,127,3,11,5,35,3,10,0,6,,0.819354839,0.785714286,13
JFreeChart,org.jfree.data.json,JSONUtils,224,0,20,0,70,0,15,0,5,0,,0,0,15
JFreeChart,org.jfree.chart.title,LegendGraphic,118,497,30,44,31,148,29,47,9,30,,0.808130081,0.594594595,76
JFreeChart,org.jfree.chart.title,Title,29,270,9,19,10,78,12,24,4,18,,0.903010033,0.678571429,36
JFreeChart,org.jfree.chart.title,ImageTitle,405,0,36,0,84,0,29,0,11,0,,0,0,29
JFreeChart,org.jfree.chart.title,DateTitle,10,43,0,0,2,8,1,4,1,4,,0.811320755,#DIV/0!,5
JFreeChart,org.jfree.chart.title,ShortTextTitle,289,12,43,1,62,4,28,2,6,2,,0.03986711,0.022727273,30
JFreeChart,org.jfree.chart.title,PaintScaleLegend,750,314,68,24,138,91,49,27,13,17,,0.295112782,0.260869565,76
JFreeChart,org.jfree.chart.title,CompositeTitle,73,80,4,6,19,26,7,10,4,8,,0.522875817,0.6,17
JFreeChart,org.jfree.chart.title,LegendItemBlockContainer,9,78,1,3,3,25,4,7,3,6,,0.896551724,0.75,11
JFreeChart,org.jfree.chart.title,TextTitle,507,592,94,56,113,160,72,40,12,25,,0.53867152,0.373333333,112
JFreeChart,org.jfree.chart.title,LegendTitle,116,596,20,42,34,163,29,37,12,23,,0.837078652,0.677419355,66
JFreeChart,org.jfree.data.xml,ItemHandler,112,0,8,0,32,0,11,0,7,0,,0,0,11
JFreeChart,org.jfree.data.xml,PieDatasetHandler,72,0,8,0,20,0,9,0,5,0,,0,0,9
JFreeChart,org.jfree.data.xml,ValueHandler,100,0,8,0,27,0,10,0,6,0,,0,0,10
JFreeChart,org.jfree.data.xml,KeyHandler,96,0,6,0,21,0,9,0,6,0,,0,0,9
JFreeChart,org.jfree.data.xml,DatasetReader,122,0,2,0,43,0,8,0,7,0,,0,0,8
JFreeChart,org.jfree.data.xml,RootHandler,54,0,8,0,18,0,10,0,6,0,,0,0,10
JFreeChart,org.jfree.data.xml,CategoryDatasetHandler,85,0,8,0,22,0,9,0,5,0,,0,0,9
JFreeChart,org.jfree.data.xml,CategorySeriesHandler,114,0,8,0,30,0,9,0,5,0,,0,0,9
JFreeChart,org.jfree.chart,ChartColor,6,338,0,0,2,25,1,2,1,2,,0.98255814,#DIV/0!,3
JFreeChart,org.jfree.chart,ChartHints.Key,33,0,13,0,6,0,9,0,2,0,,0,0,9
JFreeChart,org.jfree.chart,PaintMap,5,164,0,14,1,50,1,15,1,8,,0.970414201,1,16
JFreeChart,org.jfree.chart,JFreeChart,523,1126,71,103,135,295,81,80,27,47,,0.682838084,0.591954023,161
JFreeChart,org.jfree.chart,StandardChartTheme,763,1232,93,117,220,369,112,85,46,46,,0.61754386,0.557142857,197
JFreeChart,org.jfree.chart,ChartTransferable,207,0,12,0,52,0,13,0,7,0,,0,0,13
JFreeChart,org.jfree.chart,HashUtils,136,185,23,19,33,42,18,17,1,13,,0.576323988,0.452380952,35
JFreeChart,org.jfree.chart,PolarChartPanel,243,0,24,0,72,0,19,0,7,0,,0,0,19
JFreeChart,org.jfree.chart,ChartFrame,37,0,2,0,10,0,4,0,3,0,,0,0,4
JFreeChart,org.jfree.chart,StrokeMap,9,160,0,14,3,48,2,14,2,7,,0.946745562,1,16
JFreeChart,org.jfree.chart,ChartUtils,434,14,10,2,110,6,34,2,28,2,,0.03125,0.166666667,36
JFreeChart,org.jfree.chart,JFreeChart.new RenderingHints.Key() {...},3,4,0,0,1,1,1,1,1,1,,0.571428571,#DIV/0!,2
JFreeChart,org.jfree.chart,LegendItem,96,689,8,44,29,198,18,66,10,48,,0.877707006,0.846153846,84
JFreeChart,org.jfree.chart,LegendItemCollection,6,64,1,5,2,19,2,9,1,7,,0.914285714,0.833333333,11
JFreeChart,org.jfree.chart,ChartMouseEvent,22,0,0,0,8,0,4,0,4,0,,0,#DIV/0!,4
JFreeChart,org.jfree.chart,ChartRenderingInfo,2,141,4,12,1,43,4,16,0,12,,0.986013986,0.75,20
JFreeChart,org.jfree.chart,ChartPanel,2789,1202,343,51,697,318,271,36,82,28,,0.30117765,0.129441624,307
JFreeChart,org.jfree.chart,ChartHints,14,0,0,0,4,0,2,0,2,0,,0,#DIV/0!,2
JFreeChart,org.jfree.chart,LegendRenderingOrder,38,0,0,0,3,0,4,0,4,0,,0,#DIV/0!,4
JFreeChart,org.jfree.chart,StandardChartTheme.new StandardChartTheme() {...},5,0,0,0,2,0,2,0,2,0,,0,#DIV/0!,2
JFreeChart,org.jfree.chart,MouseWheelHandler,105,13,14,0,33,5,11,1,4,1,,0.110169492,0,12
JFreeChart,org.jfree.chart,ChartFactory,1398,1216,150,52,285,290,116,41,27,29,,0.465187452,0.257425743,157
JFreeChart,org.jfree.chart.needle,PinNeedle,128,18,9,3,25,6,8,3,2,3,,0.123287671,0.25,11
JFreeChart,org.jfree.chart.needle,MiddlePinNeedle,133,20,10,4,25,6,9,3,2,3,,0.130718954,0.285714286,12
JFreeChart,org.jfree.chart.needle,ShipNeedle,84,20,8,4,16,6,8,3,2,3,,0.192307692,0.333333333,11
JFreeChart,org.jfree.chart.needle,PointerNeedle,139,18,13,3,36,6,10,3,2,3,,0.114649682,0.1875,13
JFreeChart,org.jfree.chart.needle,ArrowNeedle,140,36,12,6,29,13,9,5,2,3,,0.204545455,0.333333333,14
JFreeChart,org.jfree.chart.needle,MeterNeedle,144,187,10,20,39,63,21,20,13,13,,0.564954683,0.666666667,41
JFreeChart,org.jfree.chart.needle,PlumNeedle,84,18,7,3,19,6,7,3,2,3,,0.176470588,0.3,10
JFreeChart,org.jfree.chart.needle,WindNeedle,69,18,8,4,17,6,8,2,2,2,,0.206896552,0.333333333,10
JFreeChart,org.jfree.chart.needle,LineNeedle,53,16,6,2,12,5,6,3,2,3,,0.231884058,0.25,9
JFreeChart,org.jfree.chart.needle,LongNeedle,189,19,14,2,50,7,10,3,2,3,,0.091346154,0.125,13
JFreeChart,org.jfree.chart.encoders,SunPNGEncoderAdapter,32,0,0,0,12,0,7,0,7,0,,0,#DIV/0!,7
JFreeChart,org.jfree.chart.encoders,EncoderUtil,71,0,0,0,21,0,9,0,9,0,,0,#DIV/0!,9
